Dept,JobDate,jobno,Vehicleid,UnitNo,Reason,Notes,CostParts,CostLabor,CostTotal,
1020,01-06-2015 00:00,14073,118743,14,04    DRIVER'S REPORT,"PM SERVICE, CHECK TURN SIGNAL, 
CLUNKING NOISE WHEN DRIVING",493.85,0,493.85,1
1020,1/14/2015 0:00,14232,230973,13,08    PM SERVICE              ***,"SERVICEROB,EXT,5604",38.87,0,38.87,2
2111,01-02-2015 00:00,14006,1243,116,04    DRIVER'S REPORT,NEED 4 PLOW PINS,45,0,45,2
2111,01-02-2015 00:00,14140,B39109      ,178,04    DRIVER'S REPORT,INSTALL SPINNER ASSY,0,0,0,2
2111,01-03-2015 00:00,14163,574950,215,13    SNOW BREAKDOWN,DONT START,0,0,0,2
2111,01-05-2015 00:00,14169,A00413      ,283,04    DRIVER'S REPORT,DOG BONE PIN BROKEN,20,0,20,1
2111,01-06-2015 00:00,14000,766153,248,08    PM SERVICE              ***,"NEED SERVICE, CHECK BRAKES",387.17,0,387.17,1
2111,01-06-2015 00:00,14155,525670,232,04    DRIVER'S REPORT,HYD CAP CHECK ENGINE LIGHT ON,12.95,0,12.95,2
2111,01-06-2015 00:00,14157,621909,213,40    NEGLIGENCE,"TARP VALVE STICKINGRIGHT SIDE MIRROR 
BRACKET BROKEN",50.02,0,50.02,1
2111,01-06-2015 00:00,14164,1226,117,13    SNOW BREAKDOWN,HANDLES IN CAB LOOSE,0,0,0,2
2111,01-06-2015 00:00,14165,525999,114,04    DRIVER'S REPORT,NO PLOW LIGHTS,0,0,0,2
2111,01-06-2015 00:00,14172,B34632      ,276,10    ROADCALL,WILL NOT START,0,0,0,2
2111,01-06-2015 00:00,14174,1469,122,10    ROADCALL,WILL NOT START,0,0,0,2
2111,01-06-2015 00:00,14175,68932,147,10    ROADCALL,WILL NOT START,0,0,0,2
2111,01-06-2015 00:00,14176,68933,148,10    ROADCALL,WILL NOT START,0,0,0,2
2111,01-06-2015 00:00,14177,621907,208,10    ROADCALL,WILL NOT START,0,0,0,2
2111,01-06-2015 00:00,14181,337657,218,04    DRIVER'S REPORT,CONVEORY NOT WORKING,0,0,0,1
2111,01-06-2015 00:00,14182,D-1920      ,164,10    ROADCALL,DONT START,0,0,0,2
2111,01-06-2015 00:00,14183,525998,217,10    ROADCALL,DONT START,0,0,0,2
2111,01-06-2015 00:00,14184,526000,225,10    ROADCALL,DONT START,0,0,0,2
2111,01-06-2015 00:00,14185,621921,214,04    DRIVER'S REPORT,CONVORY NOT WORKING,0,0,0,1
2111,01-07-2015 00:00,14188,O01469      ,201,04    DRIVER'S REPORT,needs def/jim f,0,0,0,
2111,01-07-2015 00:00,14190,337656,219,04    DRIVER'S REPORT,NEEDS FLOOR MATTS,65.07,0,65.07,2
2111,01-07-2015 00:00,14191,B34632      ,276,10    ROADCALL,DONT START,0,0,0,2
2111,01-07-2015 00:00,14196,1222,118,04    DRIVER'S REPORT,HARDWARE FOR REAR SPRINGS,14.32,0,14.32,2
2111,01-07-2015 00:00,14199,52565,626,04    DRIVER'S REPORT,WASHER FLUIDDEF,28.88,0,28.88,2
2111,01-09-2015 00:00,14107,1467,121,08    PM SERVICE              ***,"REMOVE & REPLACE REAR SPRINGS, CHECK COOLANT TUBESPM SERVIVE",4697.55,0,4697.55,1
2111,01-09-2015 00:00,14209,52565,626,04    DRIVER'S REPORT,NEEDS SIGNAL BULBS /PICKED UP BY MIKE DEMASI,2.92,0,2.92,1
2111,01-09-2015 00:00,14212,337655,234,04    DRIVER'S REPORT,NOISE AT IDLE,10.79,0,10.79,2
2111,01-09-2015 00:00,14213,525998,217,13    SNOW BREAKDOWN,NEED BOLTS FOR SPINNER SHILD,10,0,10,2
2111,01-09-2015 00:00,14214,1468,120,13    SNOW BREAKDOWN,SPINNER LIGHT OUT,8.82,0,8.82,2
2111,1/13/2015 0:00,14158,337655,234,04    DRIVER'S REPORT,PLOW LIGHTS DONT WORKRIGHT HEAD LIGHT OUT,28.76,0,28.76,2
2111,1/13/2015 0:00,14180,766153,248,04    DRIVER'S REPORT,NEED WIPER BLADES,18.35,0,18.35,2
2111,1/13/2015 0:00,14203,B34631      ,277,10    ROADCALL,DONT START,0,0,0,2
2111,1/13/2015 0:00,14208,B34632      ,276,04    DRIVER'S REPORT,TRUCK WILL NOT START,172.95,0,172.95,1
2111,1/13/2015 0:00,14216,1402,228,04    DRIVER'S REPORT,"COOLANT LEAK SPINNER LIGHT OUTWIPER BLADES,WASHER HOSE BROKENCHECK BRAKE PEDDLE",109.4,0,109.4,1
2111,1/13/2015 0:00,14223,1403,226,13    SNOW BREAKDOWN,STROB LIGHTS NOT WORKINGHYD LEAK,183.84,0,183.84,1
2111,1/13/2015 0:00,14249,555361,249,04    DRIVER'S REPORT,NEEDS WASHERS/PICKED UP BY RICHIE V,5,0,5,2
2111,1/14/2015 0:00,13999,B39109      ,178,01    BREAKDOWN            ***,CHECK PTO PUMP,49.33,0,49.33,2
2111,1/14/2015 0:00,14039,1224,222,04    DRIVER'S REPORT,CHECK BRAKE ADJUSTMENT,2305.19,0,2305.19,1
2111,1/14/2015 0:00,14068,195238,172,04    DRIVER'S REPORT,"SEAT BELT BUZZER KEEP GOING ON WHEN DRIVING, WILL NOT STOP",10,0,10,2
2111,1/14/2015 0:00,14122,B34631      ,277,04    DRIVER'S REPORT,NO SPINNER DISC,175,0,175,1
2111,1/14/2015 0:00,14131,B34629      ,167,04    DRIVER'S REPORT,INSTALL SPINNER ASSY,140,0,140,1
2111,1/14/2015 0:00,14139,L00343      ,281,10    ROADCALL,HYD LEAK,358.58,0,358.58,1
2111,1/14/2015 0:00,14142,110294,608,40    NEGLIGENCE,"INSTALL BROOM -MAIN CORE FOR BROOM SECTIONS WAS BENT , OUT OF SHAPE . DAMAGE CAUSING BROOMS SECTION TO NOT LOCK INTO CORE . HAD TO REPLACE EVERYTHING DUE TO DAMAGE .",2139.35,0,2139.35,1
2111,1/14/2015 0:00,14148,621910,209,40    NEGLIGENCE,"REPLACE QUARTER FENDERS , FIX FUEL TANK STEP , REPLACE STACK HEAT SHIELD.",163.47,0,163.47,1
2111,1/14/2015 0:00,14189,273064,166,08    PM SERVICE              ***,"SERVICE,CHECK ENGINE LIGHT ONLIGHTSHORN DONT WORK",241.33,0,241.33,1
2111,1/14/2015 0:00,14194,621924,210,04    DRIVER'S REPORT,HYD LEAK SIDE DUMP,233.42,0,233.42,1
2111,1/14/2015 0:00,14205,D14803      ,611,40    NEGLIGENCE,lost gas cap/taken by carl,11.91,0,11.91,2
2111,1/14/2015 0:00,14217,621923,211,04    DRIVER'S REPORT,HERMAN NEEDS WASHER FLUID,1.79,0,1.79,2
2111,1/14/2015 0:00,14219,B39110      ,620,13    SNOW BREAKDOWN,SIDE DUMP HYD HOSE BLOWN,98.08,0,98.08,2
2111,1/14/2015 0:00,14220,337656,219,13    SNOW BREAKDOWN,RIGHT REAR AXLE SEAL LEAKING,397.87,0,397.87,1
2111,1/14/2015 0:00,14221,1629,235,13    SNOW BREAKDOWN,CONVOYOR DOOR DONT WORK,0,0,0,2
2111,1/14/2015 0:00,14222,D-1920      ,164,13    SNOW BREAKDOWN,CHECK ALL LIGHTSCHECK HORNWASHERS,142.55,0,142.55,2
2111,1/14/2015 0:00,14226,1364,243,04    DRIVER'S REPORT,NEEW WASHER FLUID,1.79,0,1.79,2
2111,1/14/2015 0:00,14239,621924,210,40    NEGLIGENCE,MIRROR BRACKET LEFT SIDE,39.56,0,39.56,2
2111,1/14/2015 0:00,14250,B34631      ,277,10    ROADCALL,DONT START,0,0,0,2
2111,1/15/2015 0:00,14225,1466,124,40    NEGLIGENCE,ROAD CALLTOWED INBROKEN AXLE,469.29,0,469.29,1
2111,1/15/2015 0:00,14229,1226,117,04    DRIVER'S REPORT,NO TAIL LIGHTS,40,0,40,2
2111,1/15/2015 0:00,14256,621907,208,04    DRIVER'S REPORT,"CHECK FOR OIL OR TRANS LEAKSPINNER 
LIGHTADJ CONVOYOR CHAINPLOW LIGHTS 
NOT WORKING",52.32,0,52.32,2
2111,1/15/2015 0:00,14264,68932,147,10    ROADCALL,DONT START,0,0,0,2
2111,1/15/2015 0:00,14267,195238,172,04    DRIVER'S REPORT,2 WAY RADIO INOP,0,0,0,2
2111,1/16/2015 0:00,14274,A19527      ,613,01    BREAKDOWN            ***,TO UNIT TO GABRIELLI BILLS TOWINGUINVOICE 162222$200.00,200,0,200,1
2111,1/20/2015 0:00,14193,621909,213,04    DRIVER'S REPORT,SIDE DUMP VALVE STICKING,0,0,0,2
2111,1/20/2015 0:00,14243,1223,220,13    SNOW BREAKDOWN,CONVOYOR ADJUSTER NOT WORKING,420.49,0,420.49,1
2111,1/20/2015 0:00,14254,B31275      ,110,04    DRIVER'S REPORT,SHIFTES HARDWATER IN FUEL LIGHT ONCHECK PLOW FRAME,605.79,0,605.79,1
2111,1/20/2015 0:00,14255,D14803      ,611,04    DRIVER'S REPORT,CHECK OILHOOD DONT CLOSE,46.02,0,46.02,1
2111,1/20/2015 0:00,14257,393534,206,04    DRIVER'S REPORT,HYD LEAK ON BOOM,187.17,0,187.17,1
2111,1/20/2015 0:00,14284,O01469      ,201,04    DRIVER'S REPORT,NEEDS DEF/JIMF,172,0,172,1
2111,1/21/2015 0:00,14103,B31276      ,177,04    DRIVER'S REPORT,"PLOW FRAME CRACKED, SPINNER NEED TO BE INSTALLEDARMSTRONG WELDINGINVOICE 21212$300.",310,0,310,1
2111,1/21/2015 0:00,14286,273777,221,04    DRIVER'S REPORT,SPRAY SYS NOT WORKING,0,0,0,2
2111,1/21/2015 0:00,14288,68934,146,12    CONTRACT HIRE REPAIR,WELD REPAIR PIN ON TAILGATE SECTION WHICH WAS ROTTED OUT,300,0,300,1
2111,1/21/2015 0:00,14289,393532,204,04    DRIVER'S REPORT,WELD AND REPAIR TWO PLATES THAT WERE BROKEN ON REAR OF HOOK LIFTARMSTRONG WELDINGINVOICE 21212$300,300,0,300,1
2111,1/21/2015 0:00,14292,B34630      ,168,01    BREAKDOWN            ***,BREAKDOWN ON NEWFIELD AVE.O'NEILLS TOWED UNIT BACK TO VEHICLE MAINTENANCE,100,0,100,1
2111,1/22/2015 0:00,14293,1224,222,04    DRIVER'S REPORT,NEEDS Wiper blades,14.4,0,14.4,2
2111,1/22/2015 0:00,14299,P1276D      ,151,04    DRIVER'S REPORT,GREASE FOR SWEEPER /PETE MARTEY,155.99,0,155.99,2
2111,1/23/2015 0:00,14309,555361,249,04    DRIVER'S REPORT,NEEDS HYD HOSE,56.83,0,56.83,2
2111,1/23/2015 0:00,14314,172539,105,04    DRIVER'S REPORT,CHECK OIL IN PLOW,8.08,0,8.08,2
2111,1/24/2015 0:00,14319,1469,122,13    SNOW BREAKDOWN,DONT START,0,0,0,2
2111,1/26/2015 0:00,14294,68932,147,04    DRIVER'S REPORT,NO STARTNO PTO,47.12,0,47.12,2
2111,1/26/2015 0:00,14307,X01917      ,282,10    ROADCALL,HYD LEAK AT SCOFIELD YARD,197.3,0,197.3,1
2111,1/26/2015 0:00,14322,68932,147,04    DRIVER'S REPORT,CHECK FLUIDS,14.77,0,14.77,2
2111,1/26/2015 0:00,14324,B31275      ,110,04    DRIVER'S REPORT,PLOW COUPLER,11.84,0,11.84,2
2111,1/26/2015 0:00,14333,621922,212,13    SNOW BREAKDOWN,"REPLACE WIPER BLADES , CHECK FLUIDS.",18.35,0,18.35,2
2111,1/26/2015 0:00,14335,1224,222,40    NEGLIGENCE,NEEDS MIRROR,15.63,0,15.63,1
2111,1/26/2015 0:00,14359,68934,146,13    SNOW BREAKDOWN,PLOW LIGHT RIGHT SIDE DIM,25,0,25,2
2111,1/27/2015 0:00,14378,B39110      ,620,13    SNOW BREAKDOWN,RIGHT PLOW LIGHT BROKEN,97.69,0,97.69,1
2111,1/28/2015 0:00,14311,D-1920      ,164,10    ROADCALL,DONT STARTCHECK LEAK ON BROOM MOTOR,93.86,0,93.86,2
2111,1/28/2015 0:00,14336,574950,215,04    DRIVER'S REPORT,NEEDS WASHER FLUID,1.79,0,1.79,2
2111,1/28/2015 0:00,14384,337658,239,04    DRIVER'S REPORT,PLOW LIGHT BULB,8.88,0,8.88,2
2111,1/28/2015 0:00,14385,1243,116,04    DRIVER'S REPORT,NEEDS A 55 GALLON DRUM OF 15W40/10W40/PICKED UP BY PREZ,996.05,0,996.05,1
2111,1/28/2015 0:00,14391,1227,241,04    DRIVER'S REPORT,WHEEL WELL MLGD CRACKED,206.53,0,206.53,1
2111,1/29/2015 0:00,14400,621922,212,04    DRIVER'S REPORT,NEEDS MARKER LITE,3.06,0,3.06,2
2111,1/29/2015 0:00,14404,A19527      ,613,01    BREAKDOWN            ***,NO POWERGABRIELLI MACKINVOICE 84146MS$549.58,549.58,0,549.58,1
2111,1/30/2015 0:00,14224,621922,212,13    SNOW BREAKDOWN,HYD LEAK IN CAB,262.19,0,262.19,1
2111,1/30/2015 0:00,14298,68933,148,13    SNOW BREAKDOWN,DONT BUILD UP AIR PRESSHARD STARTING,987.57,0,987.57,1
2111,1/30/2015 0:00,14315,B31276      ,177,04    DRIVER'S REPORT,PLOW COUPLER,11.84,0,11.84,2
2111,1/30/2015 0:00,14318,1628,236,13    SNOW BREAKDOWN,LIGHT ON IN DASH,18,0,18,2
2111,1/30/2015 0:00,14320,68934,146,13    SNOW BREAKDOWN,DONT START,0,0,0,2
2111,1/30/2015 0:00,14321,68934,146,13    SNOW BREAKDOWN,HYDRA LEAK,99.5,0,99.5,1
2111,1/30/2015 0:00,14328,1227,241,04    DRIVER'S REPORT,SPINNER LIGHTADJ CONVOYOR,128.15,0,128.15,2
2111,1/30/2015 0:00,14337,1224,222,13    SNOW BREAKDOWN,HYD LEAKSPOT MORROR RIGHT SIDE,370.52,0,370.52,1
2111,1/30/2015 0:00,14343,1222,118,13    SNOW BREAKDOWN,PLOW HANDLE LOOSE,0,0,0,2
2111,1/30/2015 0:00,14344,337658,239,13    SNOW BREAKDOWN,WINDOWS DONT WORK,447.87,0,447.87,1
2111,1/30/2015 0:00,14345,621923,211,13    SNOW BREAKDOWN,SPINNER DONT WORK,0,0,0,2
2111,1/30/2015 0:00,14351,68936,145,13    SNOW BREAKDOWN,GAS IN FUEL TANKHYD LINES UNDER CABSTROB LIGHTS,0,0,0,1
2111,1/30/2015 0:00,14353,1403,226,13    SNOW BREAKDOWN,CHECK CAB LIGHTS,0,0,0,2
2111,1/30/2015 0:00,14360,1629,235,13    SNOW BREAKDOWN,CONVOYOR STAYS ON,115.03,0,115.03,2
2111,1/30/2015 0:00,14366,110301,607,13    SNOW BREAKDOWN,FLAT TIRE REAR,250,0,250,2
2111,1/30/2015 0:00,14369,68933,148,13    SNOW BREAKDOWN,WIPER BLADES,16.19,0,16.19,2
2111,1/30/2015 0:00,14374,526000,225,04    DRIVER'S REPORT,CHECK PLOW LIGHTSAIR LEAKI IN CAB.,0,0,0,2
2111,1/30/2015 0:00,14375,B34631      ,277,13    SNOW BREAKDOWN,CHECK LIGHTS,8.88,0,8.88,2
2111,1/30/2015 0:00,14380,1365,244,13    SNOW BREAKDOWN,"ROAD CALL TO HUNTING RIDGE RD, LIGHT ON IN DASH",27,0,27,2
2111,1/30/2015 0:00,14386,1469,122,13    SNOW BREAKDOWN,SPINNER TO FASTCHECK BATTERYSCHECK LIGHTS,299.33,0,299.33,2
2111,1/30/2015 0:00,14390,1402,228,13    SNOW BREAKDOWN,RIGHT REAR INSIDE TIRE FLATCHECK REAR LIGHTS,456.33,0,456.33,1
2111,1/30/2015 0:00,14392,1400,227,13    SNOW BREAKDOWN,CONVEYOR BELT NOT WORKING,895.54,0,895.54,1
2111,1/30/2015 0:00,14405,B39109      ,178,04    DRIVER'S REPORT,N EEDS WIPER BLADES/PETE MARTY,7.16,0,7.16,2
2111,02-01-2015 00:00,14420,1402,228,13    SNOW BREAKDOWN,NO WIPERS,0,0,0,2
2111,02-02-2015 00:00,14445,1243,116,13    SNOW BREAKDOWN,WIPER BLADES,14.4,0,14.4,2
2111,02-03-2015 00:00,14446,621922,212,04    DRIVER'S REPORT,SPINNER LIGHT,128.15,0,128.15,2
2111,02-03-2015 00:00,14459,1467,121,04    DRIVER'S REPORT,RIGHT FRONT FLAT TIRE,611.5,0,611.5,1
2111,02-04-2015 00:00,14338,1628,236,13    SNOW BREAKDOWN,CHECK BACK LIGHTS,125.68,0,125.68,2
2111,02-04-2015 00:00,14340,1403,226,13    SNOW BREAKDOWN,TRUCK IS NOT RUNNING RIGHT.,82.09,0,82.09,2
2111,02-04-2015 00:00,14350,1402,228,13    SNOW BREAKDOWN,ANTI FREEZE SMELLGAS TANK STRAP,80,0,80,1
2111,02-04-2015 00:00,14355,68935,149,13    SNOW BREAKDOWN,DICKY JOHN SYS NO GOOD,0,0,0,1
2111,02-04-2015 00:00,14356,B34632      ,276,13    SNOW BREAKDOWN,PLOW LIGHTS,45.76,0,45.76,2
2111,02-04-2015 00:00,14361,555360,115,13    SNOW BREAKDOWN,PUT SPINNER ON,129.66,0,129.66,2
2111,02-04-2015 00:00,14365,621910,209,13    SNOW BREAKDOWN,DRIVER PUT TO MUCH OIL IN MOTOR,190.88,0,190.88,1
2111,02-04-2015 00:00,14367,337658,239,13    SNOW BREAKDOWN,TRUCK DONT START,0,0,0,2
2111,02-04-2015 00:00,14368,B34629      ,167,13    SNOW BREAKDOWN,PLOW WONT GO UP,0,0,0,2
2111,02-04-2015 00:00,14373,555360,115,13    SNOW BREAKDOWN,NOT CHARGING,183.48,0,183.48,1
2111,02-04-2015 00:00,14393,337657,218,13    SNOW BREAKDOWN,SPINNER LIGHTCONVOYOR CHAIN HITTING WHEN SIDE DUMP UP,10.61,0,10.61,1
2111,02-04-2015 00:00,14407,68934,146,40    NEGLIGENCE,RIGHT FRONT HUB CAP BROKEN,18.78,0,18.78,1
2111,02-04-2015 00:00,14408,68935,149,13    SNOW BREAKDOWN,NOT CHARGEINGADJUST CONVOYOR,199.24,0,199.24,1
2111,02-04-2015 00:00,14411,110301,607,13    SNOW BREAKDOWN,REAR FLAT TIRE,290.19,0,290.19,1
2111,02-04-2015 00:00,14413,A01350      ,183,04    DRIVER'S REPORT,NEEDS WASHER FLUID/DOM,1.79,0,1.79,2
2111,02-04-2015 00:00,14417,1225,119,13    SNOW BREAKDOWN,REAR SPRINGS BROKEN,2102.29,0,2102.29,1
2111,02-04-2015 00:00,14421,68934,146,13    SNOW BREAKDOWN,DONT START,0,0,0,2
2111,02-04-2015 00:00,14423,68933,140,13    SNOW BREAKDOWN,TAIL GATE WONT CLOSE,0,0,0,1
2111,02-04-2015 00:00,14426,1400,227,13    SNOW BREAKDOWN,NEEDS WASHER FLUID,3.58,0,3.58,2
2111,02-04-2015 00:00,14427,555360,115,13    SNOW BREAKDOWN,PLOW LIGHT DIMCONVOYOR STUCK,20,0,20,2
2111,02-04-2015 00:00,14432,B20087      ,619,13    SNOW BREAKDOWN,PLOW BLADE BOLTS,15,0,15,2
2111,02-04-2015 00:00,14440,B31275      ,110,13    SNOW BREAKDOWN,WIPER BLADES,14.4,0,14.4,2
2111,02-04-2015 00:00,14454,B31276      ,177,13    SNOW BREAKDOWN,R/R TIRE FLAT,616.96,0,616.96,1
2111,02-04-2015 00:00,14478,1365,244,04    DRIVER'S REPORT,NEEDS FUEL LINE AND FUEL FILTER/MIKE KEYACK,3.04,0,3.04,2
2111,02-05-2015 00:00,14467,1364,243,13    SNOW BREAKDOWN,CHECK  CAB AIR RIDECHECK RIGHT POWER MIRROR DAMAGE TO RIGHT SIDE MISSING TOOL BOX,151.32,0,151.32,1
2111,02-06-2015 00:00,14430,1222,118,13    SNOW BREAKDOWN,SPINNER LIGHT OUTCONTROLS LOOSE,30.77,0,30.77,1
2111,02-06-2015 00:00,14438,68937,144,13    SNOW BREAKDOWN,PLOW CABLE SHACKLE,18.95,0,18.95,2
2111,02-06-2015 00:00,14466,68932,147,13    SNOW BREAKDOWN,CHECK STARTER CHECK CHARGING SYSTEMADJUST CONVEYOR,920.83,0,920.83,1
2111,02-06-2015 00:00,14474,1225,119,13    SNOW BREAKDOWN,LOW COOLANTCHECK CONVEYOR,18,0,18,2
2111,02-06-2015 00:00,14483,1365,244,13    SNOW BREAKDOWN,NO TAIL LIGHTS LEFT SIDECHANGE FUEL FILTERS,18.01,0,18.01,2
2111,02-06-2015 00:00,14489,621923,211,40    NEGLIGENCE,SPINNER BENT,0,0,0,2
2111,02-06-2015 00:00,14495,D14803      ,611,04    DRIVER'S REPORT,RIGHT REAR TIRE FLAT,366.96,0,366.96,1
2111,02-06-2015 00:00,14497,621908,125,04    DRIVER'S REPORT,needs washer fluid,1.79,0,1.79,2
2111,02-09-2015 00:00,14502,621910,209,04    DRIVER'S REPORT,NEEDS WASHER FLUID,1.79,0,1.79,2
2111,02-09-2015 00:00,14505,L00343      ,281,04    DRIVER'S REPORT,TOP LEFT CLAM PISTON PIN BROKEN.,248.93,0,248.93,1
2111,02-09-2015 00:00,14509,313183,10,10    ROADCALL,ROAD CALL DEAD BATTERY,0,0,0,2
2111,02-09-2015 00:00,14521,621923,211,13    SNOW BREAKDOWN,L/F TIRE LOW,613.89,0,613.89,1
2111,02-10-2015 00:00,14342,1400,277,13    SNOW BREAKDOWN,HYD NOT WORKING,0,0,0,2
2111,02-10-2015 00:00,14414,337658,239,38    WARRANTY,HYD LEAK UNDER CAB,973,0,973,1
